OCC_NO,OCC_YEAR,OCC_DATE,CLASS_ID,OCC_TYPE,ACC_INC_TYPE,PROVINCE,LOCATION,TERRAIN_TYPE,FACILITY_NAME,FACILITY_TYPE,PIPELINE_CO,PIPELINE_TYPE_CO,PROD_RELEASED_IND,PRODUCT_TYPE,QUANTITY_LOST,DETECTION_METHOD,LOCATION_ON_PIPELINE,ENVIRO_DAMAGE_IND,PROPERTY_DAMAGE_IND,FIRE_IND,EXPLOSION_IND,NO_EVACUATED,FATALITIES,SERIOUS_INJURIES,PRODUCTION_DT
P12H0068,2012,2012-03-05,5,INCIDENT,PUMP STATION - UNCONTAINED RELEASE,ALBERTA,HARDISTY,STATION PROPERTY,HARDISTY PUMP STATION,PUMP STATION,ENBRIDGE PIPELINES INC. (FORMERLY IPL),LVP/HVP,YES,PETROLEUM CRUDE OIL,,SCADA,THERMAL RELIEF VALVE,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P12H0069,2012,2012-03-09,5,INCIDENT,PUMP STATION - UNCONTAINED RELEASE,ALBERTA,EDMONTON,STATION PROPERTY,EDMONTON TERMINAL,TERMINAL,ENBRIDGE PIPELINES INC. (FORMERLY IPL),LVP/HVP,YES,PETROLEUM CRUDE OIL,,PIPELINE EMPLOYEE,TRANSFER PUMP SEAL,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P12H0070,2012,2012-03-12,5,INCIDENT,PUMP STATION - UNCONTAINED RELEASE,MANITOBA,GLENBORO,STATION PROPERTY,GLENBORO PUMP STATION,PUMP STATION,ENBRIDGE PIPELINES INC. (FORMERLY IPL),LVP/HVP,YES,PETROLEUM CRUDE OIL,,PIPELINE EMPLOYEE,PUMP CASE VENT,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P12H0071,2012,2012-03-22,5,INCIDENT,PUMP STATION - UNCONTAINED RELEASE,ALBERTA,HARDISTY,STATION PROPERTY,HARDISTY PUMP STATION,PUMP STATION,ENBRIDGE PIPELINES INC. (FORMERLY IPL),LVP/HVP,YES,PETROLEUM CRUDE OIL,,PIPELINE EMPLOYEE,PRESSURE CONTROL VALVE,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P12H0072,2012,2012-03-30,5,INCIDENT,PUMP STATION - UNCONTAINED RELEASE,SASKATCHEWAN,MIDALE,STATION PROPERTY,MIDALE TERMINAL,TERMINAL,ENBRIDGE PIPELINES (WESTPUR) INC.,LVP,YES,PETROLEUM CRUDE OIL,,PIPELINE EMPLOYEE,OFFLOADING RISER,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P12H0073,2012,2012-04-19,5,INCIDENT,PUMP STATION - OTHER,ONTARIO,TORONTO (S. OF NORTH YORK),STATION PROPERTY,TORONTO AIRPORT TERMINAL,TERMINAL,TRANS-NORTHERN PIPELINES INC.,LVP,NO,N/A,0,PIPELINE EMPLOYEE,OVERPRESSURE,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P12H0074,2012,2012-04-24,5,INCIDENT,LINE PIPE - 3RD PARTY DAMAGE NO RELEASE,BRITISH COLUMBIA,CLEARWATER,AGRICULTURAL LAND,MAINLINE,TRANSMISSION LINE,TRANS MOUNTAIN PIPELINE (KINDER MORGAN),LVP/HVP,NO,N/A,0,PIPELINE EMPLOYEE,LINE PIPE KP 692.4,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P12H0075,2012,2012-05-03,5,INCIDENT,OTHER FACILITY - UNCONTAINED RELEASE,NEW BRUNSWICK,SAINT JOHN,STATION PROPERTY,ST. JOHN PRESSURE REDUCING STATION,OTHER,MARITIMES AND NORTHEAST PIPELINE,GAS,YES,NATURAL GAS,,OUTSIDE PARTY,RELIEF VALVE,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P12H0076,2012,2012-05-03,5,INCIDENT,LINE PIPE - DISTURB. OF SUPPORT ENVIRO. NO RELEASE,BRITISH COLUMBIA,WONOWON,MARGINAL LAND,MAINLINE,TRANSMISSION LINE,WESTCOAST ENERGY (SPECTRA),GAS,NO,N/A,0,OUTSIDE PARTY,LINE PIPE,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P12H0077,2012,2012-05-02,5,INCIDENT,COMPRESSOR STATION - OTHER,BRITISH COLUMBIA,CHETWYND,STATION PROPERTY,COMPRESSOR STATION 2,COMPRESSOR STATION,WESTCOAST ENERGY (SPECTRA),GAS,NO,N/A,0,SCADA,COMPRESSOR UNIT BEARING LUBRICATION LINE,NO,NO,YES,NO,0,0,0,2017-03-15T16:18:52
