OCC_NO,OCC_YEAR,OCC_DATE,CLASS_ID,OCC_TYPE,ACC_INC_TYPE,PROVINCE,LOCATION,TERRAIN_TYPE,FACILITY_NAME,FACILITY_TYPE,PIPELINE_CO,PIPELINE_TYPE_CO,PROD_RELEASED_IND,PRODUCT_TYPE,QUANTITY_LOST,DETECTION_METHOD,LOCATION_ON_PIPELINE,ENVIRO_DAMAGE_IND,PROPERTY_DAMAGE_IND,FIRE_IND,EXPLOSION_IND,NO_EVACUATED,FATALITIES,SERIOUS_INJURIES,PRODUCTION_DT
P07H0058,2007,2007-10-17,5,INCIDENT,PUMP STATION - UNCONTAINED RELEASE,SASKATCHEWAN,CACTUS LAKE,STATION PROPERTY,CACTUS LAKE PUMP STATION,PUMP STATION,ENBRIDGE PIPELINES INC. (FORMERLY IPL),LVP/HVP,YES,PETROLEUM CRUDE OIL,3,SCADA,LINE 3 STATION CHECK VALVE,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P07H0059,2007,2007-08-08,5,INCIDENT,OTHER FACILITY - UNCONTAINED RELEASE,ONTARIO,SARNIA,STATION PROPERTY,SARNIA TERMINAL,TERMINAL,ENBRIDGE PIPELINES INC. (FORMERLY IPL),LVP/HVP,YES,PETROLEUM CRUDE OIL,,PIPELINE EMPLOYEE,TANK,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P07H0060,2007,2007-09-04,5,INCIDENT,PUMP STATION - UNCONTAINED RELEASE,ALBERTA,EDMONTON,STATION PROPERTY,EDMONTON TERMINAL,TERMINAL,ENBRIDGE PIPELINES INC. (FORMERLY IPL),LVP/HVP,YES,PETROLEUM CRUDE OIL,,PIPELINE EMPLOYEE,VENT PIPE ON MANIFOLD PIPING,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P07H0061,2007,2007-09-05,5,INCIDENT,OTHER FACILITY - UNCONTAINED RELEASE,SASKATCHEWAN,STEELMAN,STATION PROPERTY,STEELMAN TERMINAL,TERMINAL,ENBRIDGE PIPELINES (WESTPUR) INC.,LVP,YES,PETROLEUM CRUDE OIL,1,PIPELINE EMPLOYEE,TANK TRUCK,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P07H0062,2007,2007-09-24,5,INCIDENT,OTHER FACILITY - UNCONTAINED RELEASE,ONTARIO,SARNIA,STATION PROPERTY,SARNIA TERMINAL,TERMINAL,ENBRIDGE PIPELINES INC. (FORMERLY IPL),LVP/HVP,YES,PETROLEUM CRUDE OIL,,PIPELINE EMPLOYEE,PUMP DRAIN PIPING,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P07H0063,2007,2007-11-14,5,INCIDENT,COMPRESSOR STATION - UNCONTAINED RELEASE,SASKATCHEWAN,MONCHY,STATION PROPERTY,COMPRESSOR STATION 394,COMPRESSOR STATION,FOOTHILLS PIPE LINE LTD. (TRANSCANADA),GAS,YES,NATURAL GAS,,SCADA,FUEL GAS  METER SHUT OFF VALVE,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P07H0064,2007,2007-11-23,5,INCIDENT,COMPRESSOR STATION - UNCONTAINED RELEASE,MANITOBA,BRANDON,STATION PROPERTY,COMPRESSOR STATION 30,COMPRESSOR STATION,TRANSCANADA PIPELINES LTD.,GAS,YES,NATURAL GAS,,SCADA,"""C"" PLANT RECYCLE VALVE",NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P07H0065,2007,2007-11-23,5,INCIDENT,COMPRESSOR STATION - UNCONTAINED RELEASE,ALBERTA,WHITECOURT,STATION PROPERTY,AB 47 METER STATION,METER STATION,ALLIANCE PIPELINE,GAS,YES,NATURAL GAS,,PIPELINE EMPLOYEE,COMPRESSOR UNIT #1 FUEL GAS LINE,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P07H0066,2007,2007-12-06,5,INCIDENT,PUMP STATION - OTHER,SASKATCHEWAN,BETHUNE,STATION PROPERTY,BETHUNE PUMP STATION,PUMP STATION,ENBRIDGE PIPELINES INC. (FORMERLY IPL),LVP/HVP,NO,N/A,0,SCADA,LINE 2 SUBSTATION,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P07H0067,2007,2007-12-09,5,INCIDENT,LINE PIPE - OTHER,BRITISH COLUMBIA,SAVONA,MARGINAL LAND,COMPRESSOR STATION 7,COMPRESSOR STATION,WESTCOAST ENERGY (SPECTRA),GAS,NO,N/A,0,SCADA,UPSTREAM OF STATION BYPASS VALVE,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P07H0068,2007,2007-12-27,5,INCIDENT,COMPRESSOR STATION - UNCONTAINED RELEASE,ALBERTA,GRANDE PRAIRIE,STATION PROPERTY,AB 30 METER STATION,METER STATION,ALLIANCE PIPELINE,GAS,YES,NATURAL GAS,,SCADA,COMPRESSOR START/FUEL GAS LINE,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P07H0069,2007,2007-10-27,5,INCIDENT,PUMP STATION - UNCONTAINED RELEASE,SASKATCHEWAN,REGINA,STATION PROPERTY,REGINA TERMINAL,TERMINAL,ENBRIDGE PIPELINES INC. (FORMERLY IPL),LVP/HVP,YES,PETROLEUM CRUDE OIL,,PIPELINE EMPLOYEE,LINE 13 STATION SUMP PUMP,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P07H0070,2007,2007-10-18,5,INCIDENT,PUMP STATION - UNCONTAINED RELEASE,ONTARIO,HILTON,STATION PROPERTY,HILTON PUMP STATION,PUMP STATION,ENBRIDGE PIPELINES INC. (FORMERLY IPL),LVP/HVP,YES,PETROLEUM CRUDE OIL,,PIPELINE EMPLOYEE,STATION VALVE STEM,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P07H0071,2007,2007-10-25,5,INCIDENT,PUMP STATION - UNCONTAINED RELEASE,SASKATCHEWAN,LANGBANK,STATION PROPERTY,LANGBANK PUMP STATION,PUMP STATION,ENBRIDGE PIPELINES INC. (FORMERLY IPL),LVP/HVP,YES,PETROLEUM CRUDE OIL,,PIPELINE EMPLOYEE,LINE 3 PUMP UNIT DISCHARGE VALVE,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P07H0072,2007,2007-10-29,5,INCIDENT,PUMP STATION - UNCONTAINED RELEASE,ALBERTA,HARDISTY,STATION PROPERTY,HARDISTY PUMP STATION,PUMP STATION,ENBRIDGE PIPELINES INC. (FORMERLY IPL),LVP/HVP,YES,PETROLEUM CRUDE OIL,,PIPELINE EMPLOYEE,LINE 4 SCRAPER TRAP,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P07H0073,2007,2007-12-27,5,INCIDENT,PUMP STATION - UNCONTAINED RELEASE,ONTARIO,SARNIA,STATION PROPERTY,SARNIA TERMINAL,TERMINAL,ENBRIDGE PIPELINES INC. (FORMERLY IPL),LVP/HVP,YES,PETROLEUM CRUDE OIL,,PIPELINE EMPLOYEE,PRESSURE CONTROL VALVE,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P08H0001,2008,2008-01-02,5,INCIDENT,LINE PIPE - UNCONTAINED RELEASE,MANITOBA,CROMER,STATION PROPERTY,LINE 13,TRANSMISSION LINE,ENBRIDGE PIPELINES INC. (FORMERLY IPL),LVP/HVP,YES,PETROLEUM CRUDE OIL,8,PIPELINE EMPLOYEE,DELIVERY PIPING,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P08H0002,2008,2008-01-23,5,INCIDENT,PUMP STATION - UNCONTAINED RELEASE,MANITOBA,CROMER,STATION PROPERTY,CROMER PUMP STATION,PUMP STATION,ENBRIDGE PIPELINES INC. (FORMERLY IPL),LVP/HVP,YES,PETROLEUM CRUDE OIL,100,PIPELINE EMPLOYEE,ELBOW ON UNIT 4U3,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P08H0003,2008,2008-01-26,5,INCIDENT,COMPRESSOR STATION - UNCONTAINED RELEASE,BRITISH COLUMBIA,PROPHET RIVER,STATION PROPERTY,COMPRESSOR STATION N2,COMPRESSOR STATION,WESTCOAST ENERGY (SPECTRA),GAS,YES,NATURAL GAS,,PIPELINE EMPLOYEE,RECEIVING BARREL,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P08H0004,2008,2008-01-27,5,INCIDENT,GAS PROCESSING PLANT - UNCONTAINED RELEASE,BRITISH COLUMBIA,TAYLOR,STATION PROPERTY,MCMAHON PLANT,GAS PROCESSING PLANT,WESTCOAST ENERGY (SPECTRA),GAS,YES,OTHER,1,PIPELINE EMPLOYEE,HEAT MEDIUM EXCHANGER BUNDLE,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P08H0005,2008,2008-02-20,5,INCIDENT,OTHER FACILITY - UNCONTAINED RELEASE,ALBERTA,BEISEKER,MARGINAL LAND,EASTERN LEG - ZONE 6,TRANSMISSION LINE,FOOTHILLS PIPE LINE LTD. (TRANSCANADA),GAS,YES,NATURAL GAS,,OUTSIDE PARTY,GASKET ON CROSSOVER VALVE KMP 120,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P08H0006,2008,2008-02-25,5,INCIDENT,OTHER FACILITY - UNCONTAINED RELEASE,SASKATCHEWAN,MOOSOMIN,AGRICULTURAL LAND,LINE 100-1,TRANSMISSION LINE,TRANSCANADA PIPELINES LTD.,GAS,YES,NATURAL GAS,100,OUTSIDE PARTY,"MLV 24, LINE 100-1:2 UPSTREAM TIE-OVER",NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P08H0007,2008,2008-03-01,5,INCIDENT,OTHER FACILITY - UNCONTAINED RELEASE,ONTARIO,KAPUSKASING,MARGINAL LAND,LINE 100-3,TRANSMISSION LINE,TRANSCANADA PIPELINES LTD.,GAS,YES,NATURAL GAS,,OUTSIDE PARTY,GAS HYDRAULIC OPERATOR ON MLV 97-3,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P08H0008,2008,2008-03-02,5,INCIDENT,COMPRESSOR STATION - UNCONTAINED RELEASE,ONTARIO,DRYDEN (NW. OF WABIGOON LAKE),STATION PROPERTY,COMPRESSOR STATION 55,COMPRESSOR STATION,TRANSCANADA PIPELINES LTD.,GAS,YES,NATURAL GAS,,SCADA,PORTABLE GAS COMPRESSOR,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P08H0009,2008,2008-03-14,5,INCIDENT,COMPRESSOR STATION - UNCONTAINED RELEASE,MANITOBA,RAPID CITY,STATION PROPERTY,COMPRESSOR STATION 30,COMPRESSOR STATION,TRANSCANADA PIPELINES LTD.,GAS,YES,NATURAL GAS,,PIPELINE EMPLOYEE,BLOWDOWN RISER OF MLV 30-4,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P08H0011,2008,2008-03-31,5,INCIDENT,COMPRESSOR STATION - UNCONTAINED RELEASE,ONTARIO,HAILEYBURY,STATION PROPERTY,COMPRESSOR STATION 110,COMPRESSOR STATION,TRANSCANADA PIPELINES LTD.,GAS,YES,NATURAL GAS,,PIPELINE EMPLOYEE,LINE 100-1 MANIFOLD PIPING,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P08H0012,2008,2008-04-01,5,INCIDENT,OTHER FACILITY - OTHER,ONTARIO,WINDSOR,STATION PROPERTY,WINDSOR STORAGE TERMINAL,STORAGE FACILITY,PLAINS MIDSTREAM (LPG OPERATIONS),HVP,NO,N/A,0,SCADA,"BRINE STRINGER, CAVERN E-1",NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P08H0013,2008,2008-04-14,5,INCIDENT,LINE PIPE - OTHER,ALBERTA,HARDISTY,STATION PROPERTY,"24"" MAINLINE",TRANSMISSION LINE,EXPRESS PIPELINE LTD (KINDER MORGAN),LVP,NO,N/A,0,SCADA,COMMUNICATION SYSTEM,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P08H0014,2008,2008-04-16,5,INCIDENT,OTHER FACILITY - UNCONTAINED RELEASE,ONTARIO,KENORA,MARGINAL LAND,LINE 100-2,TRANSMISSION LINE,TRANSCANADA PIPELINES LTD.,GAS,YES,NATURAL GAS,,PIPELINE EMPLOYEE,"MLV 50-2, BYPASS RISER",NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P08H0015,2008,2008-04-15,5,INCIDENT,OTHER FACILITY - OTHER,BRITISH COLUMBIA,CHETWYND,MARGINAL LAND,GOODRICH RE-INJECTION PIPELINE,GATHERING LINE,WESTCOAST ENERGY (SPECTRA),GAS,YES,ACID GAS,,PIPELINE EMPLOYEE,"LINE BREAK VALVES #4, #5, AND #8",NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P08H0016,2008,2008-04-20,5,INCIDENT,GAS PROCESSING PLANT - UNCONTAINED RELEASE,BRITISH COLUMBIA,TAYLOR,STATION PROPERTY,MCMAHON PLANT,GAS PROCESSING PLANT,WESTCOAST ENERGY (SPECTRA),GAS,YES,OTHER,,PIPELINE EMPLOYEE,TRUCK LOADING FACILITY,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P08H0017,2008,2008-04-21,5,INCIDENT,PUMP STATION - UNCONTAINED RELEASE,SASKATCHEWAN,REGINA,STATION PROPERTY,REGINA TERMINAL,TERMINAL,PLAINS MIDSTREAM (WASCANA PIPELINE),LVP,YES,PETROLEUM CRUDE OIL,4,PIPELINE EMPLOYEE,SENDING BARREL,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P08H0018,2008,2008-04-24,5,INCIDENT,OTHER FACILITY - UNCONTAINED RELEASE,BRITISH COLUMBIA,FORT ST. JOHN,MARGINAL LAND,ALASKA HIGHWAY,GATHERING LINE,WESTCOAST ENERGY (SPECTRA),GAS,YES,SOUR GAS,,OUTSIDE PARTY,"RECEIPT POINT 2632, KMP 24.5",NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P08H0019,2008,2008-01-09,5,INCIDENT,PUMP STATION - UNCONTAINED RELEASE,SASKATCHEWAN,BETHUNE,STATION PROPERTY,BETHUNE PUMP STATION,PUMP STATION,ENBRIDGE PIPELINES INC. (FORMERLY IPL),LVP/HVP,YES,PETROLEUM CRUDE OIL,,SCADA,PUMP UNIT,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P08H0020,2008,2008-01-21,5,INCIDENT,PUMP STATION - UNCONTAINED RELEASE,ONTARIO,SARNIA,STATION PROPERTY,SARNIA TERMINAL,TERMINAL,ENBRIDGE PIPELINES INC. (FORMERLY IPL),LVP/HVP,YES,PETROLEUM CRUDE OIL,,PIPELINE EMPLOYEE,LINE 6 RECEIVING BARREL,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P08H0021,2008,2008-02-15,5,INCIDENT,PUMP STATION - UNCONTAINED RELEASE,ALBERTA,HARDISTY,STATION PROPERTY,HARDISTY PUMP STATION,PUMP STATION,ENBRIDGE PIPELINES INC. (FORMERLY IPL),LVP/HVP,YES,PETROLEUM CRUDE OIL,,SCADA,PUMP UNIT ON LINE 4,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P08H0022,2008,2008-02-18,5,INCIDENT,PUMP STATION - UNCONTAINED RELEASE,ALBERTA,HARDISTY,STATION PROPERTY,HARDISTY PUMP STATION,PUMP STATION,ENBRIDGE PIPELINES INC. (FORMERLY IPL),LVP/HVP,YES,PETROLEUM CRUDE OIL,,PIPELINE EMPLOYEE,INCOMING MANIFOLD,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P08H0023,2008,2008-03-05,5,INCIDENT,PUMP STATION - UNCONTAINED RELEASE,SASKATCHEWAN,KERROBERT,STATION PROPERTY,KERROBERT PUMP STATION,PUMP STATION,ENBRIDGE PIPELINES INC. (FORMERLY IPL),LVP/HVP,YES,PETROLEUM CRUDE OIL,,PIPELINE EMPLOYEE,PUMP UNIT ON LINE 4,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P08H0024,2008,2008-03-16,5,INCIDENT,PUMP STATION - UNCONTAINED RELEASE,ALBERTA,HARDISTY,STATION PROPERTY,HARDISTY PUMP STATION,PUMP STATION,ENBRIDGE PIPELINES INC. (FORMERLY IPL),LVP/HVP,YES,PETROLEUM CRUDE OIL,,PIPELINE EMPLOYEE,MANIFOLD,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P08H0025,2008,2008-03-26,5,INCIDENT,PUMP STATION - UNCONTAINED RELEASE,ALBERTA,HARDISTY,STATION PROPERTY,HARDISTY PUMP STATION,PUMP STATION,ENBRIDGE PIPELINES INC. (FORMERLY IPL),LVP/HVP,YES,PETROLEUM CRUDE OIL,,PIPELINE EMPLOYEE,PUMP UNIT ON LINE 4,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P08H0026,2008,2008-05-01,5,INCIDENT,PUMP STATION - OTHER,MANITOBA,CROMER,STATION PROPERTY,CROMER PUMP STATION,PUMP STATION,ENBRIDGE PIPELINES INC. (FORMERLY IPL),LVP/HVP,NO,N/A,0,PIPELINE EMPLOYEE,FLARE STACK,NO,NO,YES,NO,0,0,0,2017-03-15T16:18:52
P08H0027,2008,2008-05-06,5,INCIDENT,PUMP STATION - UNCONTAINED RELEASE,SASKATCHEWAN,HERSCHEL,STATION PROPERTY,HERSCHEL PUMP STATION,PUMP STATION,ENBRIDGE PIPELINES INC. (FORMERLY IPL),LVP/HVP,YES,PETROLEUM CRUDE OIL,9,OUTSIDE PARTY,LINE 3 SUMP PUMP,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P08H0028,2008,2008-05-09,5,INCIDENT,OTHER FACILITY - UNCONTAINED RELEASE,BRITISH COLUMBIA,CHETWYND,STATION PROPERTY,GOODRICH RE-INJECTION PIPELINE,GATHERING LINE,WESTCOAST ENERGY (SPECTRA),GAS,YES,OTHER,,PIPELINE EMPLOYEE,RECEIVING BARREL,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P08H0029,2008,2008-05-11,5,INCIDENT,PUMP STATION - UNCONTAINED RELEASE,SASKATCHEWAN,REGINA,STATION PROPERTY,REGINA TERMINAL,TERMINAL,ENBRIDGE PIPELINES INC. (FORMERLY IPL),LVP/HVP,YES,PETROLEUM CRUDE OIL,7,PIPELINE EMPLOYEE,THERMAL RELIEF VALVE AT METER PROVER,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P08H0030,2008,2008-05-12,5,INCIDENT,GAS PROCESSING PLANT - UNCONTAINED RELEASE,BRITISH COLUMBIA,TAYLOR,STATION PROPERTY,MCMAHON PLANT,GAS PROCESSING PLANT,WESTCOAST ENERGY (SPECTRA),GAS,YES,NATURAL GAS,,PIPELINE EMPLOYEE,RIVER WATER PUMP HOUSE FUEL GAS LINE,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P08H0031,2008,2008-05-18,5,ACCIDENT,OTHER FACILITY - FIRE/IGNITION/EXPLOSION,MANITOBA,EMERSON,STATION PROPERTY,EMERSON SALES METER STATION,METER STATION,TRANSCANADA PIPELINES LTD.,GAS,NO,N/A,0,SCADA,EXHAUST AIR LOUVER MOTORIZED CONTROLLER,NO,NO,YES,NO,0,0,0,2017-03-15T16:18:52
P08H0032,2008,2008-01-13,5,INCIDENT,LINE PIPE - 3RD PARTY DAMAGE NO RELEASE,ONTARIO,AILSA CRAIG,AGRICULTURAL LAND,LINE 7,TRANSMISSION LINE,ENBRIDGE PIPELINES INC. (FORMERLY IPL),LVP/HVP,NO,N/A,0,RIGHT OF WAY SURVEILLANCE,MP 1784.82,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P08H0033,2008,2008-05-22,5,INCIDENT,GAS PROCESSING PLANT - UNCONTAINED RELEASE,BRITISH COLUMBIA,TAYLOR,STATION PROPERTY,MCMAHON PLANT,GAS PROCESSING PLANT,WESTCOAST ENERGY (SPECTRA),GAS,YES,OTHER,,OUTSIDE PARTY,CONDENSER 3B,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P08H0034,2008,2008-06-05,5,INCIDENT,OTHER FACILITY - UNCONTAINED RELEASE,ALBERTA,EDMONTON,STATION PROPERTY,EDMONTON TERMINAL,TERMINAL,ENBRIDGE PIPELINES INC. (FORMERLY IPL),LVP/HVP,YES,PETROLEUM CRUDE OIL,8,PIPELINE EMPLOYEE,TANK #2,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P08H0035,2008,2008-06-06,5,INCIDENT,COMPRESSOR STATION - UNCONTAINED RELEASE,ONTARIO,MAPLE (WITHIN THE CITY OF BURLINGTON),STATION PROPERTY,COMPRESSOR STATION 130,COMPRESSOR STATION,TRANSCANADA PIPELINES LTD.,GAS,YES,NATURAL GAS,,PIPELINE EMPLOYEE,"""A"" PLANT, UNIT 4 DISCHARGE PIPING",NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P08H0036,2008,2008-06-12,5,INCIDENT,COMPRESSOR STATION - UNCONTAINED RELEASE,MANITOBA,PORTAGE LA PRAIRIE,STATION PROPERTY,COMPRESSOR STATION 34,COMPRESSOR STATION,TRANSCANADA PIPELINES LTD.,GAS,YES,NATURAL GAS,,OUTSIDE PARTY,FUEL GAS VENT AND PRESSURE RELIEF VALVE,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P08H0037,2008,2008-06-23,5,ACCIDENT,COMPRESSOR STATION - FIRE/EXPLOSION,BRITISH COLUMBIA,MOYIE,STATION PROPERTY,"STATION 2B, MOYIE",COMPRESSOR STATION,TRANSCANADA PIPELINES LTD. - BC SYSTEM,GAS,NO,N/A,0,SCADA,UNIT2B-D,NO,NO,YES,NO,0,0,0,2017-03-15T16:18:52
P08H0038,2008,2008-03-01,5,INCIDENT,LINE PIPE - OTHER,BRITISH COLUMBIA,TUMBLER RIDGE,MARGINAL LAND,"24 "" GRIZZLY (SOUR)",GATHERING LINE,WESTCOAST ENERGY (SPECTRA),GAS,NO,N/A,0,SCADA,"20"" GRIZZLY PIPELINE BETWEEN LBV 8 & 9",NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P08H0039,2008,2008-07-06,5,INCIDENT,PUMP STATION - UNCONTAINED RELEASE,ALBERTA,EDMONTON,STATION PROPERTY,EDMONTON TERMINAL,TERMINAL,ENBRIDGE PIPELINES INC. (FORMERLY IPL),LVP/HVP,YES,PETROLEUM CRUDE OIL,,OUTSIDE PARTY,STORAGE TANK,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P08H0040,2008,2008-07-09,5,INCIDENT,COMPRESSOR STATION - UNCONTAINED RELEASE,SASKATCHEWAN,ALAMEDA,STATION PROPERTY,ALAMEDA COMPRESSOR STATION,COMPRESSOR STATION,ALLIANCE PIPELINE,GAS,YES,NATURAL GAS,800,PIPELINE EMPLOYEE,STATION PRESSURE RELIEF VALVE,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P08H0041,2008,2008-07-16,5,INCIDENT,COMPRESSOR STATION - UNCONTAINED RELEASE,SASKATCHEWAN,MOOSOMIN,STATION PROPERTY,COMPRESSOR STATION 25,COMPRESSOR STATION,TRANSCANADA PIPELINES LTD.,GAS,YES,NATURAL GAS,,PIPELINE EMPLOYEE,GENERATOR FUEL GAS LINE,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P08H0042,2008,2008-07-05,5,INCIDENT,LINE PIPE - OTHER,SASKATCHEWAN,GRENFELL,AGRICULTURAL LAND,LINE 100-3,TRANSMISSION LINE,TRANSCANADA PIPELINES LTD.,GAS,NO,N/A,0,PIPELINE EMPLOYEE,MLV 21-3 + 0.3 KM,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P08H0043,2008,2008-07-29,5,INCIDENT,COMPRESSOR STATION - UNCONTAINED RELEASE,ONTARIO,HEARST,STATION PROPERTY,COMPRESSOR STATION 84,COMPRESSOR STATION,TRANSCANADA PIPELINES LTD.,GAS,YES,NATURAL GAS,,PIPELINE EMPLOYEE,DOMESTIC FUEL GAS REGULATOR,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P08H0044,2008,2008-07-12,5,INCIDENT,PUMP STATION - UNCONTAINED RELEASE,SASKATCHEWAN,SWIFT CURRENT,STATION PROPERTY,HERBERT PUMP STATION,PUMP STATION,PETROLEUM TRANSMISSION COMPANY,HVP,YES,LIQUIFIED PETROLEUM GAS,,SCADA,PUMP UNIT,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P08H0045,2008,2008-07-18,5,INCIDENT,LINE PIPE - OTHER,BRITISH COLUMBIA,CHETWYND,MARGINAL LAND,"24"" GRIZZLY (SWEET)",TRANSMISSION LINE,WESTCOAST ENERGY (SPECTRA),GAS,YES,OTHER,,OUTSIDE PARTY,KMP 141.3,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P08H0046,2008,2008-08-19,5,ACCIDENT,COMPRESSOR STATION - DAMAGE/RELEASE/FIRE/EXPLOSION,BRITISH COLUMBIA,MOYIE,RESIDENTIAL,"STATION 2B, MOYIE",COMPRESSOR STATION,TRANSCANADA PIPELINES LTD. - BC SYSTEM,GAS,YES,OTHER,1,SCADA,B PLANT POWER TURBINE,NO,NO,YES,NO,0,0,0,2017-03-15T16:18:52
P08H0047,2008,2008-08-20,5,INCIDENT,COMPRESSOR STATION - UNCONTAINED RELEASE,SASKATCHEWAN,REGINA,STATION PROPERTY,STEELMAN METER STATION,METER STATION,TRANSCANADA PIPELINES LTD.,GAS,YES,NATURAL GAS,,OUTSIDE PARTY,POWER GAS VENT VALVE,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P08H0048,2008,2008-08-20,5,INCIDENT,OTHER FACILITY - UNCONTAINED RELEASE,ALBERTA,HIGH LEVEL,STATION PROPERTY,ZAMA TERMINAL,TERMINAL,ENBRIDGE PIPELINES (NW) LTD.(FORMERLY IPL(NW) LTD),LVP,YES,PETROLEUM CRUDE OIL,4,PIPELINE EMPLOYEE,SUMP LINE,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P08H0049,2008,2008-09-04,5,INCIDENT,PUMP STATION - OTHER,SASKATCHEWAN,MILDEN,STATION PROPERTY,MILDEN PUMP STATION,PUMP STATION,ENBRIDGE PIPELINES INC. (FORMERLY IPL),LVP/HVP,NO,N/A,0,PIPELINE EMPLOYEE,LINE 4 PUMP UNIT,NO,NO,YES,NO,0,0,0,2017-03-15T16:18:52
P08H0050,2008,2008-09-10,5,ACCIDENT,GAS PROCESSING PLANT - 3RD PARTY DAMAGE,BRITISH COLUMBIA,TAYLOR,STATION PROPERTY,MCMAHON PLANT,GAS PROCESSING PLANT,WESTCOAST ENERGY (SPECTRA),GAS,YES,LIQUIFIED PETROLEUM GAS,,OUTSIDE PARTY,BUTANE LINE,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P08H0051,2008,2008-08-28,5,INCIDENT,LINE PIPE - UNCONTAINED RELEASE,ONTARIO,KENORA,MARGINAL LAND,LINE 100-1,TRANSMISSION LINE,TRANSCANADA PIPELINES LTD.,GAS,YES,NATURAL GAS,,PIPELINE EMPLOYEE,MLV 50-1+11.163,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P08H0052,2008,2008-04-08,5,INCIDENT,PUMP STATION - UNCONTAINED RELEASE,ONTARIO,HILTON,STATION PROPERTY,HILTON PUMP STATION,PUMP STATION,ENBRIDGE PIPELINES INC. (FORMERLY IPL),LVP/HVP,YES,PETROLEUM CRUDE OIL,,PIPELINE EMPLOYEE,SCRAPER TRAP,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
